index,PID,Tg
0,P074288,218
1,P373224,302
2,P433800,225
3,P372584,122.5
4,P450060,53.8
5,P382308,16.2
6,P040041,-55
7,P433577,222
8,P460142,218
9,P190004,121.85
10,P430205,331
11,P392623,103
12,P130213,209
13,P412204,31.9
14,P433796,288
15,P110100,106
16,P094309,243
17,P392545,29
18,P372371,252
19,P432970,194
20,P074273,224.5
21,P402376,312
22,P140015,65
23,P070074,136.468
24,P370479,274
25,P433292,208.6
26,P370331,62
27,P070168,15
28,P432158,68
29,P430317,259
30,P342084,44
31,P170051,0
32,P070733,238.6666667
33,P070695,156
34,P460210,-53.6
35,P130177,211
36,P370029,290
37,P433139,270
38,P342721,78
39,P430281,238
40,P372212,181
41,P392130,55.5
42,P370309,43
43,P370473,326.3333333
44,P372329,85.4
45,P070365,261.2333333
46,P030148,93
47,P030018,-24.73614458
48,P390393,139.6
49,P342224,38
50,P342349,104.85
51,P342709,92
52,P510027,250
53,P430318,289
54,P370149,152.35
55,P433980,281
56,P402348,325
57,P432334,218
58,P392809,10
59,P433615,138
60,P373021,275.4
61,P432621,84
62,P372594,90
63,P433849,250
64,P342055,-4.5
65,P150036,162.8571429
66,P472197,62.8
67,P522019,101.85
68,P432348,240
69,P322190,104
70,P433327,212.2
71,P402354,297.5
72,P370336,201
73,P090423,-15
74,P430442,292.6666667
75,P374010,259
76,P070696,154
77,P433476,244
78,P030083,-7
79,P342206,10
80,P370078,280
81,P322171,160
82,P432335,160.7
83,P512136,287
84,P020102,50
85,P342487,40
86,P430203,359
87,P039005,112.21925
88,P373398,268
89,P432575,248
90,P432244,125
91,P432986,243
92,P433739,227.8
93,P432974,267
94,P430467,144.425
95,P130112,189.3333333
96,P432217,181.5
97,P432327,256.5
98,P433232,266
99,P372580,32
100,P100150,140
101,P402230,83.66666667
102,P432598,254
103,P164493,85
104,P372555,-9.314285714
105,P040127,168.9309091
106,P402291,186
107,P382032,107
108,P402435,140.3
109,P432783,289
110,P100305,140
111,P433255,237.1
112,P080135,280.8875
113,P433217,259
114,P070525,159
115,P094357,113
116,P392080,214
117,P382307,129
118,P390223,134
119,P410012,125
120,P433105,216
121,P392665,140
122,P373714,-25
123,P432568,131
124,P090076,64
125,P340077,65.85
126,P070309,180
127,P340044,41.64166667
128,P070445,-18.5375
129,P392042,197
130,P040333,106
131,P390062,-14
132,P342128,18
133,P432097,244.4
134,P430434,290
135,P500035,71
136,P373492,270
137,P100115,63
138,P074300,84
139,P130217,263
140,P110082,47
141,P070473,226.3666667
142,P070078,85
143,P373125,97
144,P460040,392
145,P430235,221
146,P430231,178
147,P370809,94
148,P410009,144
149,P030131,98.5
150,P040202,67
151,P430265,222
152,P020146,128
153,P430174,245
154,P434062,294.8
155,P432780,351
156,P040199,30
157,P373669,114
158,P342490,18.2
159,P402164,303
160,P074567,212
161,P373100,101
162,P100123,85
163,P432195,250
164,P432345,240
165,P392221,47
166,P372813,-88
167,P410033,21.95
168,P372047,-38
169,P370846,100
170,P432238,319
171,P373652,215
172,P090592,279
173,P430292,356
174,P070564,17
175,P070137,-74.575
176,P434029,276
177,P432881,360
178,P372374,36
179,P462671,173
180,P433735,204.8
181,P402452,196
182,P433028,249
183,P433247,317.4
184,P100068,294
185,P392071,51.204
186,P150046,183.5
187,P430421,250
188,P130215,224
189,P433566,216
190,P070472,198.88
191,P090041,166.0708333
192,P400350,136
193,P040032,-17
194,P460262,352
195,P390019,207
196,P392059,48.05
197,P372241,43
198,P020194,150
199,P342417,47
200,P460223,80
201,P090034,80.722
202,P382541,107
203,P392561,120
204,P130362,348.8464286
205,P090549,52
206,P370596,153
207,P433128,296
208,P372373,44
209,P372030,176
210,P512055,135
211,P372828,132.2
212,P382346,37
213,P372424,148.6666667
214,P472119,-69.8
215,P432584,311
216,P373248,188
217,P370074,165.3
218,P400326,113
219,P382508,140
220,P472188,-25
221,P350009,87
222,P100227,46
223,P433764,117
224,P432559,175
225,P370496,4
226,P100076,264.6
227,P373638,52
228,P160086,345.5
229,P370459,293
230,P472037,-112
231,P050005,31.35
232,P452073,251.85
233,P020103,78
234,P402300,3
235,P322016,17.85
236,P020016,191
237,P432067,392
238,P020085,102
239,P372211,19
241,P433842,303
242,P070124,-76
243,P070702,158
244,P373924,21
245,P070730,242
246,P373674,62
247,P332133,80.25
248,P432586,267
249,P433533,296
250,P070142,16
251,P322161,126
252,P342427,80
253,P452014,117
254,P432284,296.5
255,P100794,87.2
256,P342227,131
257,P070466,151.2945455
258,P150006,51
259,P392811,52
260,P430097,227
261,P342445,45
262,P370179,94
263,P372039,161
264,P342211,9
265,P373796,40.3
266,P370503,-1.15
267,P074323,75
268,P432720,45
269,P432181,242
270,P392743,329
271,P034238,151
272,P020147,122
273,P372215,58
274,P130249,235
275,P382213,273
276,P392512,67
277,P130151,276
278,P372194,105.5
279,P373372,146
280,P512066,199
281,P370436,199
282,P342139,39
283,P433009,166
284,P433389,201
285,P433690,345
286,P372452,190
287,P034240,153
288,P370457,275
289,P030177,-23.76666667
290,P400272,200
291,P500029,82
292,P094308,210
293,P430374,266
294,P040269,141.925
295,P332273,72.6
296,P373951,148
297,P100348,100.9
298,P110026,5
299,P169043,265
300,P372332,137
301,P402487,83
302,P370401,116
303,P373505,58
304,P372557,107.2
305,P412230,133
306,P432365,125
307,P030020,-53.3625
308,P070574,150
309,P392667,30
310,P030205,-5
311,P070587,140
312,P150003,-41
313,P462663,249
314,P370757,81.68333333
315,P432180,250
316,P044304,132
317,P432108,253
318,P432375,344.85
319,P070426,7.5
320,P372691,90
321,P433091,257
322,P370412,252
323,P374201,164
324,P090598,95
325,P512226,206
326,P100359,138
327,P332317,171.3
328,P392199,198
329,P374060,144
330,P433334,283
331,P100085,180
332,P433862,232
333,P100010,50.21923077
334,P370019,200
335,P392078,180
336,P342154,129.85
337,P340022,44.5
338,P432505,116
339,P402154,234.2
340,P402394,197
341,P120035,54
342,P432438,235.4
343,P433337,285
344,P130372,262
345,P074402,217
346,P432219,158
347,P432171,177
348,P130075,300
349,P373156,33
350,P180019,-61.57222222
351,P372168,52
352,P040272,6.85
353,P400139,303
354,P090469,-18
355,P450023,147
356,P322218,169
357,P373376,159
358,P434023,318
359,P433138,208
360,P020015,190
361,P372223,184.4
362,P430412,187.5
363,P402395,136
364,P430472,266
365,P080017,-50
366,P433667,278.5
367,P070420,115
368,P040325,12.68
369,P433120,323.4
370,P432413,360
371,P432806,265
372,P070661,62
373,P433122,360
374,P433721,208
375,P370722,195
376,P070629,-17
377,P432669,242
378,P134430,230
379,P432146,219
380,P110094,79
381,P372808,4.6
382,P100193,71
383,P090088,-60.55
384,P074486,152
385,P370619,-35.55
386,P332053,158.85
387,P432193,250
388,P460015,190
389,P340025,131
390,P370633,340
391,P402046,283.4
392,P440011,197
393,P070626,20
394,P120033,55
395,P402403,305
396,P100081,209
397,P130071,247
398,P100021,60.33333333
399,P382223,160
400,P462154,239
401,P030038,132
402,P070400,147
403,P090561,14.25
404,P322198,143
405,P084478,344
406,P382259,58.3
407,P390245,60.83333333
408,P433582,274
409,P100070,110
410,P040168,4
411,P160087,350
412,P372199,66.33333333
413,P452009,165
414,P180008,-94
415,P372254,50
416,P130200,231
417,P433197,267.85
418,P370689,263
419,P100397,-30.5
420,P030071,115.675
421,P400019,211
422,P070058,99
423,P382134,125
424,P332276,96.5
425,P372099,195
426,P433901,314
427,P372522,134
428,P430510,300
429,P040205,110
430,P432674,280
431,P020029,91
432,P382351,10
433,P433002,160
434,P160075,364.85
435,P070328,-58.075
436,P470127,-63
437,P372704,-54
438,P430068,123
439,P430299,266.5
440,P322219,132
441,P430384,193
442,P470144,-65
443,P342022,115
444,P130349,265
445,P432205,265
446,P372441,37
447,P402433,145.6
448,P433959,98
449,P433893,338.4384615
450,P430163,64.85
451,P433019,340
452,P460222,350
453,P433768,324
454,P332398,-30
455,P392551,105
456,P094550,273
457,P390378,83
458,P370380,327
459,P322138,103
460,P433236,248
461,P373581,30
462,P433242,217
463,P372530,185
464,P433078,160
465,P462406,86.85
466,P372034,174
467,P430148,267
468,P070279,53
469,P432364,160
470,P372061,-22
471,P412231,76
472,P342194,12.5
473,P430345,65
474,P392747,240
475,P030132,66.175
476,P130224,239
477,P130374,295
478,P370755,161
479,P472122,-66.4
480,P472243,61.1
481,P472014,7
482,P372356,116
483,P433725,187
484,P470047,55
485,P370129,-10
486,P372583,98
487,P400269,285
488,P432321,267.5
489,P373501,59
490,P433830,187.285
491,P412236,66
492,P373702,98
493,P373486,196
494,P432798,303
495,P430127,80
496,P432186,243
497,P370519,24.85
498,P372939,9
499,P402020,206
500,P332177,119.85
501,P074263,235
502,P402392,365
503,P040203,37
504,P130179,290.1
505,P412126,123
506,P433179,321
507,P090530,187
508,P392109,50
509,P470036,7.5
510,P160094,75
511,P342769,20.5
512,P392875,245
513,P100108,115
514,P392248,208
515,P460185,22
516,P340104,-57.15
517,P430315,282
518,P373861,120
519,P433386,219
520,P373650,220
521,P020093,95
522,P370343,155
523,P370839,258
524,P090065,279
525,P030113,55.675
526,P440008,260
527,P130020,263.9115385
528,P070390,234
529,P322232,105
530,P433132,281.1
531,P370372,217.7170588
532,P430494,330.6666667
533,P432772,243
534,P430226,188
535,P070717,45
536,P373099,197
537,P380106,6
538,P372022,238
539,P340102,168.875
540,P332293,-57
541,P020077,10
542,P390323,50
543,P502001,229
544,P432039,120
545,P432319,249
546,P433018,341
547,P342207,42
548,P392209,44
549,P110029,55
550,P433184,339
551,P070743,256
552,P070674,311
553,P430249,241.85
554,P372798,-87
555,P430273,205
556,P432404,201
557,P500024,126
558,P040234,18.125
559,P070357,265.28
560,P322111,-3
561,P382123,279
562,P080086,-54.33333333
563,P402453,260
564,P432072,167
565,P322082,102.2
566,P373679,74
567,P433026,277
568,P080176,8
569,P373607,49
570,P320003,13
571,P433134,252.2
